mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.9966389338175455,0.0224145251687512,0.10354979832967122,0.004002696691429409,0.5,0.1,12,100,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.6,0.625,0.5897435897435898,0.60491452991453,0.014806936871000351,199
0.8506185213724772,0.041439491036935984,0.1158602237701416,0.004526575741090243,0.5,0.1,12,100,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.55,0.675,0.6153846153846154,0.6134615384615385,0.05104915062067832,163
2.5751095612843833,0.18565704133298197,0.1588589350382487,0.006246227812528861,0.5,0.1,12,300,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__n_estimators': 300, 'model__subsample': 0.5}",0.575,0.65,0.5641025641025641,0.5963675213675214,0.03818394601995399,233
2.802552858988444,0.01955750825458111,0.1858376661936442,0.004333586690522172,0.5,0.1,12,300,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.625,0.575,0.6410256410256411,0.6136752136752137,0.028119203487868765,158
1.647028923034668,0.03480622774247922,0.17017221450805664,0.003409446941394459,0.5,0.1,12,300,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.65,0.625,0.6410256410256411,0.6386752136752136,0.010340644130395621,44
3.867250680923462,0.23040819835541385,0.22776548067728677,0.028038004543723433,0.5,0.1,12,500,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__n_estimators': 500, 'model__subsample': 0.5}",0.6,0.525,0.5641025641025641,0.563034188034188,0.03062794008273717,280
3.792037089665731,0.3996387950345136,0.23577340443929037,0.003311770213741282,0.5,0.1,12,500,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__n_estimators': 500, 'model__subsample': 0.8}",0.6,0.575,0.6153846153846154,0.5967948717948718,0.01664199357147076,218
2.893531163533529,0.33794624904530696,0.2456836700439453,0.013075727680563223,0.5,0.1,12,500,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.625,0.625,0.6410256410256411,0.6303418803418803,0.007554559628061431,74
0.9526640574137369,0.014761498745127602,0.07937359809875488,0.005054033686855356,0.5,0.2,5,100,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.6,0.625,0.5897435897435898,0.60491452991453,0.014806936871000351,199
0.8941468397776285,0.006714890588796172,0.08460187911987305,0.002965808225386855,0.5,0.2,5,100,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.6,0.65,0.6410256410256411,0.6303418803418803,0.021765524065379245,74
0.6887098153432211,0.01822225541041827,0.08506067593892415,0.005228425094571627,0.5,0.2,5,100,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.625,0.625,0.5641025641025641,0.6047008547008547,0.02870732658663334,212
2.337121327718099,0.13035862670628812,0.1371757984161377,0.006845404435566497,0.5,0.2,5,300,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 0.5}",0.6,0.525,0.5641025641025641,0.563034188034188,0.03062794008273717,280
2.2953101793924966,0.18042623685873624,0.14995710055033365,0.017063547045967208,0.5,0.2,5,300,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.6,0.575,0.6666666666666666,0.6138888888888888,0.038689967436622556,156
1.4675780932108562,0.011458181810888991,0.14469210306803384,0.002495158483961464,0.5,0.2,5,300,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.625,0.6,0.5897435897435898,0.60491452991453,0.014806936871000351,199
3.7592078844706216,0.41391212537242494,0.2075958251953125,0.02045347934646419,0.5,0.2,5,500,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__subsample': 0.5}",0.6,0.475,0.5897435897435898,0.5549145299145298,0.05666302472472487,284
3.8405751387278237,0.39334137690787496,0.23188996315002441,0.01773352455442746,0.5,0.2,5,500,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__subsample': 0.8}",0.6,0.575,0.6666666666666666,0.6138888888888888,0.038689967436622556,156
2.3488407135009766,0.3177566083726099,0.20893526077270508,0.01324541130282935,0.5,0.2,5,500,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.625,0.6,0.5897435897435898,0.60491452991453,0.014806936871000351,199
0.9165800412495931,0.012242724803711058,0.0782014528910319,0.00047412199960809897,0.5,0.2,8,100,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 8, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.575,0.625,0.6153846153846154,0.6051282051282051,0.02166249390861003,193
0.8970358371734619,0.01746818370619824,0.08484864234924316,0.0017761781013744314,0.5,0.2,8,100,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 8, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.6,0.575,0.6410256410256411,0.6053418803418803,0.027218230194754056,184
0.7149152755737305,0.01645772090486706,0.1103680928548177,0.011755140693591556,0.5,0.2,8,100,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.2, 'model__max_depth': 8, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.6,0.625,0.5384615384615384,0.5878205128205128,0.03636372975303292,250
